111,0.05583281347473487,0.09407378991312197,1,3	100007	100013,100011
111,0.05583281347473487,0.040370980480649896,1,2	100007	100012
111,0.05583281347473487,0.13434638384294256,4,6	100012,100046,100002,100048,100002	100013
111,0.05583281347473487,0.11717928466659144,2,6	100012,100044,100048,100046	100051,100026
111,0.05583281347473487,0.20143608259054496,14,25	100010,100051,100026,100026,100056,100031,100007,100010,100049,100056,100079,100056,100056,100041,100011,100056,100007,100138,100056,100013,100056,100013,100031,100056	100056
110,0.006862133499688085,0.15314453345368387,1,5	100026,100069	100044,100162,100026
110,0.006862133499688085,0.23511045921245627,1,5	100078,100054	100109,100110,100010
110,0.006862133499688085,0.17340223400654406,1,10	100109,100110,100069,100065,100043,100121,100122,100010	100011,100002
110,0.006862133499688085,0.2131666478618978,5,12	100025,100007,100121,100122,100002,100138,100011,100026,100146,100010	100044,100048
110,0.006862133499688085,0.2479792395351461,1,4	100011,100175	100015,100052
209,0.5449157829070492,0.0778183459325285,5,8	100036,100007,100082,100007,100031,100012	100056,100034
209,0.5449157829070492,0.1266072435969762,2,4	100026,100069,100007	100032
60,0.0034310667498440423,0.15522148256797924,1,2	100063	100012
36,0.14098565190268247,0.08254812140358796,4,5	100007,100031,100056,100024	100007
36,0.14098565190268247,0.06377434277332732,1,2	100007	100027
36,0.14098565190268247,0.05422362631163263,1,3	100159,100007	100007
209,0.5449157829070492,0.0,1,2	100031	100007
209,0.5449157829070492,0.08211756741509647,4,6	100013,100007,100010,100035,100010	100056
209,0.5449157829070492,0.0,0,1		100016
209,0.5449157829070492,0.08420625070517883,1,3	100012	100056,100030
209,0.5449157829070492,0.07889427958930385,7,16	100073,100010,100013,100011,100013,100021,100032,100036,100030,100044,100007,100010,100031,100036,100031	100056
231,0.03275109170305677,0.0,3,10	100031,100007,100010,100024	100056,100011,100007,100028,100012,100013
2,0.0611353711790393,0.07004941893264131,3,4	100007,100087,100069	100056
209,0.5449157829070492,0.10427530181654067,4,6	100050,100032,100035,100007,100018	100026
209,0.5449157829070492,0.08110210989506939,2,5	100041,100064,100065,100012	100007
209,0.5449157829070492,0.11905314227688142,8,14	100032,100016,100050,100152,100035,100007,100026,100269,100131,100050,100001,100253	100269,100043
231,0.03275109170305677,0.13677626085975403,16,40	100021,100010,100109,100038,100007,100013,100137,100002,100088,100138,100118,100030,100002,100158,100269,100007,100013,100011,100205,100043,100011,100032,100137,100078,100041,100163,100007,100030,100014,100071,100031,100023,100021,100007,100033,100056	100013,100011,100155,100056
37,0.08827199001871491,0.15328263567640754,2,7	100053,100026,100002,100001,100038,100077	100013
37,0.08827199001871491,0.12300485163037346,3,6	100007,100002,100053,100002	100253,100013
37,0.08827199001871491,0.09858422655985558,3,5	100007,100002,100013,100023	100056
37,0.08827199001871491,0.22245018616721202,5,6	100002,100070,100013,100113,100001	100011
37,0.08827199001871491,0.18059528376396253,4,8	100002,100038,100001,100049,100010,100001	100013,100011
37,0.08827199001871491,0.14168656211215164,2,6	100013,100056,100011	100001,100007,100035
37,0.08827199001871491,0.21195802775583888,10,12	100011,100007,100002,100013,100001,100026,100070,100001,100002,100038,100025	100002
37,0.08827199001871491,0.1488046936703148,3,4	100038,100002,100042	100031
37,0.08827199001871491,0.18007807740042875,5,8	100001,100070,100026,100063,100011,100053,100012	100026
37,0.08827199001871491,0.11675414645154011,1,6	100007,100035,100026,100023	100012,100011
37,0.08827199001871491,0.057293467223287826,2,4	100007,100012	100007,100013
37,0.08827199001871491,0.13225589529504683,2,5	100013,100026,100034	100056,100013
37,0.08827199001871491,0.1345485727180413,3,5	100002,100016,100012	100056,100007
37,0.08827199001871491,0.1331549136861108,5,11	100021,100013,100013,100007,100002,100049,100010,100013,100038,100056	100026
37,0.08827199001871491,0.11251901162134717,2,4	100013,100002	100013,100007
209,0.5449157829070492,0.05675911091052691,3,4	100088,100002,100056	100012
111,0.05583281347473487,0.08327112715784724,2,4	100012,100013	100051,100026
111,0.05583281347473487,0.11933024935123547,4,5	100007,100012,100079,100002	100048
111,0.05583281347473487,0.14579352363759449,2,4	100012,100011	100046,100051
111,0.05583281347473487,0.10792643574410471,1,4	100012	100282,100051,100056
111,0.05583281347473487,0.12022204671104592,2,4	100012,100007	100026,100051
111,0.05583281347473487,0.09951393433374704,1,2	100012	100012
111,0.05583281347473487,0.08185399977434277,2,4	100012,100013	100051,100026
231,0.03275109170305677,0.15709082703373575,27,52	100041,100042,100043,100091,100047,100035,100007,100023,100011,100130,100047,100034,100073,100013,100035,100063,100041,100013,100079,100007,100063,100023,100043,100037,100030,100059,100042,100177,100031,100011,100013,100177,100019,100134,100099,100099,100041,100269,100043,100056,100059,100102,100029,100013,100078,100007,100056,100013,100177,100114,100007	100056
231,0.03275109170305677,0.0,6,17	100170,100299,100031,100007,100024,100076,100075,100159,100027,100056,100015,100177,100041,100194,100217	100023,100013
231,0.03275109170305677,0.0,0,2		100056,100012
231,0.03275109170305677,0.07330971454360825,15,31	100012,100011,100007,100047,100031,100041,100012,100191,100002,100286,100056,100059,100282,100020,100063,100021,100043,100014,100002,100056,100259,100042,100290,100073,100034,100099,100023,100036	100073,100031,100018
209,0.5449157829070492,0.09757599007108203,0,2		100007,100012
209,0.5449157829070492,0.15377637368836736,7,15	100007,100011,100023,100203,100007,100013,100114,100007,100063	100085,100059,100021,100044,100030,100056
2,0.0611353711790393,0.09354304411598781,4,7	100056,100011,100056,100007,100035,100076	100056
13,0.00842170929507174,0.12047568543382602,1,2	100002	100114
36,0.14098565190268247,0.08098837865282636,1,6	100159,100027,100021,100007	100044,100007
36,0.14098565190268247,0.11390815750874422,1,4	100030,100123,100021	100044
74,0.03025577043044292,0.12729324156606114,1,2	100031	100019
209,0.5449157829070492,0.05562270111700327,2,7	100012,100046,100021,100007,100035	100027,100269
209,0.5449157829070492,0.08768678776937831,2,3	100053,100056	100032
209,0.5449157829070492,0.09417849486629809,4,8	100155,100007,100032,100253,100053,100304,100253	100056
209,0.5449157829070492,0.07234119372672909,1,2	100053	100031
209,0.5449157829070492,0.08120230170371207,5,8	100269,100053,100178,100026,100039,100285	100019,100012
209,0.5449157829070492,0.08223490917296626,4,6	100016,100007,100053,100016,100039	100056
209,0.5449157829070492,0.10384835834367595,4,7	100011,100007,100012,100001,100007,100160	100056
2,0.0611353711790393,0.1009987588852533,1,4	100007	100056,100171,100230
2,0.0611353711790393,0.09153108428297416,8,17	100053,100041,100076,100007,100011,100083,100202,100171,100029,100031,100087,100056,100013,100083,100059	100287,100076
209,0.5449157829070492,0.08567482793636466,1,2	100007	100007
231,0.03275109170305677,0.030266952499153784,5,7	100091,100056,100024,100012,100023,100007	100056
40,0.002495321272613849,0.09882793636466208,1,4	100007,100010	100026,100051
209,0.5449157829070492,0.07201263680469366,2,3	100032,100013	100056
36,0.14098565190268247,0.08558546767460228,4,10	100087,100053,100088,100008,100203,100007,100261,100253,100087	100001
37,0.08827199001871491,0.17148143969310617,2,8	100007,100013	100044,100026,100002,100038,100042,100043
37,0.08827199001871491,0.1664691413742525,5,6	100013,100002,100056,100042,100063	100011
37,0.08827199001871491,0.09883425476700891,1,3	100007	100063,100007
37,0.08827199001871491,0.1919729211327993,5,6	100013,100002,100026,100001,100070	100025
37,0.08827199001871491,0.19427101432923388,3,4	100007,100001,100013	100091
37,0.08827199001871491,0.12547715220579939,4,7	100002,100013,100042,100007,100002	100007,100042
37,0.08827199001871491,0.11797991650682613,3,5	100002,100002,100038,100013	100007
37,0.08827199001871491,0.16504479295949454,2,7	100007,100013,100002,100038,100001,100042	100056
37,0.08827199001871491,0.11525126932190004,5,7	100007,100063,100047,100026,100013	100002,100035
37,0.08827199001871491,0.11548414757982624,1,4	100007,100013	100056,100002
37,0.08827199001871491,0.09297529053367934,1,4	100013	100007,100013,100026
37,0.08827199001871491,0.21939749520478394,3,5	100007,100002,100025,100002	100013
37,0.08827199001871491,0.13438971003046374,4,7	100007,100042,100002,100043,100056	100013,100002
37,0.08827199001871491,0.19333769603971568,4,6	100011,100013,100070,100038,100007	100038
37,0.08827199001871491,0.12182150513370191,3,6	100007,100013,100021,100001,100007	100007
209,0.5449157829070492,0.09106532776712174,3,5	100035,100035,100007,100007	100012
36,0.14098565190268247,0.04783933205460905,5,8	100056,100034,100073,100012,100036,100056,100007	100031
36,0.14098565190268247,0.11444883222385197,12,19	100062,100087,100059,100033,100044,100035,100007,100012,100043,100073,100002,100011,100036,100119,100094,100044,100216,100056	100069
110,0.006862133499688085,0.0759959381699199,1,4	100007,100011	100227,100013
230,0.024641297567061758,0.06180661175674151,5,12	100012,100011,100003,100004,100039,100013,100007,100007,100019,100093,100034	100038
231,0.03275109170305677,0.1310183910639738,18,33	100138,100013,100011,100021,100022,100041,100043,100032,100055,100007,100101,100209,100031,100013,100038,100079,100013,100011,100056,100056,100056,100209,100124,100177,100056,100041,100056,100032,100034,100027,100159	100022,100056
209,0.5449157829070492,0.12891346045357102,5,9	100054,100078,100010,100044,100007,100011,100017,100162	100012
231,0.03275109170305677,0.12905697844973485,10,20	100038,100007,100002,100041,100013,100007,100179,100019,100269,100002,100023,100038,100007,100026,100134,100136,100013,100024	100091,100079
209,0.5449157829070492,0.1150599119936816,3,8	100007,100031,100010,100007,100019	100026,100044,100056
